	1713
spelling	2
spels	2
spend	20
spend'st	2
spending	1
spends	2
spendthrift	2
spent	29
spet	3
spets	1
spheare	1
spheares	1
sphere	5
spheres	5
spherical	1
sphericall	1
sphery	1
spiced	1
spicery	1
spices	2
spider	3
spider's	1
spiders	2
spie	2
spied	2
spies	5
spight	13
spightfull	1
spill	1
spill'd	1
spills	1
spilt	2
spin	2
spinners	2
spinster	1
spinsters	1
spirit	131
spirit!--so	1
spirit-stirring	1
spirited	3
spirites	2
spiriting	1
spirits	63
spirituall	1
spiritualtie	1
spirt	1
spit	8
spite	13
spited	1
spites	2
spits	3
spitted	1
spitting	1
spittle	2
spleen	8
spleene	3
splendour	2
splenetive	1
splinter	1
splinter'd	1
split	14
spoil	3
spoil'd	3
spoiles	1
spoils	1
spoke	56
spoken	25
spokes	3
spokest	1
sponge	2
sponge!--what	1
spongy	1
spoon	1
sport	52
sport:--her	1
sportful	2
sportive	2
sports	5
spot	6
spotlesse	1
spots	3
spotted	5
spousall	1
spouse	3
spout	2
spouting	1
spouts	1
spoyl'd	2
spoyle	6
spoyles	2
sprayes	1
spread	12
spreads	1
spright	2
sprights	3
sprigs	1
spring	26
spring!--i	1
springe	1
springes	1
springs	5
springtime	1
sprinkle	1
sprite	2
sprites	3
spruce	1
sprung	2
spunge	1
spungie	1
spur	5
spurn	3
spurn'd	1
spurne	8
spurns	2
spurre	6
spurres	3
spurring	1
spurs	5
spy	11
spyed	1
sqq	1
squabble	1
squadron	1
squadrons	1
squand'ring	1
squandred	1
square	2
squarer	1
squares	1
squash	2
squeak	2
squeale	1
squealing	1
squeezing	1
squier	1
squints	1
squiny	1
squire	4
squire-like	1
squires	3
squirrel	1
squirrels	1
ss	1
st	1
stab	6
stab'd	1
stabb'd	11
stabb'dst	1
stabbes	1
stabbing	2
stable	1
stablenesse	1
stables	1
stabs	5
staff	9
staffe	5
stag	1
stage	28
stages,--so	1
stagger	1
staggers	1
stags	1
staid	2
staie	2
staies	1
stain	7
stain'd	5
staind	2
staine	3
stained	1
staines	2
staineth	1
stainless	2
stains	2
stain’d	1
stair	1
staires	1
stairs	2
stake	11
stakes	1
stal'de	1
stale	11
stalk	2
stalke	2
stalking-horse	1
stalks	1
stall'd	1
stalling	1
stalls	2
stals	1
stammer	1
stamp	6
stamp'd	3
stampe	4
stamps	1
stampt	2
stanchlesse	1
stand	239
standard	3
standards	2
standers	1
standers-by	1
standing	11
stands	58
standst	1
stanley	44
stanley's	1
stannels	1
stannyel	1
stanza	1
stanzo	1
stanzos	1
star	17
star'd	3
star-blasting	1
star-cross'd	1
star-light	1
stare	8
stares	1
stark	4
starre	5
starre-light	1
starres	8
starrie	1
stars	30
start	28
start-vp	1
started	5
starting	1
startingly	1
startle	1
startles	1
starts	8
staru	1
starue	2
starued	2
starueling	5
starv'd	3
starve	1
starved	1
starveth	1
state	150
state's	5
state,--put	1
stately	1
statements	5
states	73
statesmen	1
statillius	1
station	4
statists	1
statue	6
statues	2
stature	1
statures	1
status	20
statute	2
statutes	2
staues	1
staunton	6
staunton’s	1
stave's	1
staves	2
stay	177
stay'd	12
stay'st	1
stayed	2
stayers	1
stayes	4
stayeth	1
staying	1
stayne	1
stays	10
ste	65
stead	3
steaded	1
steads	1
steal	17
steale	22
steale't	1
stealer	1
stealers	1
steales	6
stealing	8
steals	4
stealth	7
stealthy	1
stearne	1
sted	2
steed	5
steedes	1
steeds	6
steel	15
steel'd	2
steele	9
steeled	2
steep	5
steep'd	7
steep-up	1
steepe	1
steepe-downe	1
steeples	1
steepy	1
steerage	1
steering	1
steevens	38
stell'd	1
stem	2
stemming	1
stench	1
step	12
step-dame	1
stephano	24
stephen	3
stepp'd	1
steppes	1
stepping	1
steps	6
stept	1
sterile	2
sterility	1
sterling	1
stern	8
stern'st	1
sternage	1
sterne	1
sterner	2
sternest	1
sterrile	1
sterrill	1
steru'd	1
steterat	3
stew'd	2
steward	17
stewards	1
stick	8
stick'st	3
sticke	5
stickes	2
sticking	2
sticks	3
stiff	4
stiffen	1
stiffly	1
stifled	1
stile	3
still	234
still-closing	1
still-lasting	1
still-soliciting	1
still-vex’d	1
still-waking	1
stillnesse	3
stilly	1
stilnes	1
stilnesse	1
sting	11
stinging	1
stinglesse	1
stings	2
stink	1
stinking	4
stint	2
stinted	2
stir	21
stirr'd	4
stirre	16
stirrers	1
stirres	2
stirreth	1
stirring	9
stirrup	1
stirrups	1
stirs	5
stitches	1
stithy	1
stoccata	1
stock	9
stock'd	1
stock-fish	1
stock-punish'd	1
stocke	1
stocking	1
stockings	11
stockish	1
stocks	13
stoics	1
stol'n	11
stole	12
stolen	1
stollen	1
stolne	20
stomach	9
stomachs	3
stomack	1
stomacke	10
stomackes	3
stomacks	1
stone	23
stone-bow	1
stone-hard	1
stonecutter	1
stones	28
stonie	2
stonish	1
stony	3
stood	45
stool	1
stoole	3
stooles	1
stoop	2
stoop'd	1
stoope	3
stoopes	1
stooping	4
stoops	1
stop	34
stop'd	1
stope	1
stopp'd	7
stopped	1
stoppes	3
stopping	1
stopp’d	1
stops	7
stopt	2
stor'd	1
store	22
store's	1
store-house	1
stored	5
stores	1
storeys	1
storie	4
stories	1
storm	28
storm-beaten	1
storme	4
stormed	1
stormes	2
storms	2
stormy	1
story	31
stoup	3
stoupe	2
stoups	1
stout	7
stoutly	2
stover	1
stow'd	1
stowed	1
stow’d	1
stra	4
strachy	1
stragglers	1
strai'd	1
straight	71
straightway	2
strain	4
strain'd	3
straine	9
strained	1
straining	1
strains	3
strait	5
straite	2
straitly	1
straits	1
strand	1
strange	130
strangelie	1
strangely	11
strangeness	4
strangenesse	1
stranger	16
stranger'd	1
strangers	7
strangest	1
strangle	3
strangled	1
strangles	1
strangling	1
straps	1
stratagem	2
stratagems	3
stratford	1
strato	9
straw	8
straw-colour	1
strawberries	3
strawberry	1
strawes	2
straws	3
stray	5
straying	2
strays	1
streake	1
streakes	1
streaks	2
streakt	1
stream	6
streame	6
streamers	1
streames	5
streams	2
streching	1
street	18
streete	2
streetes	4
streets	20
strength	39
strength's	1
strengthen	3
strengthen'd	2
strengths	3
stretch	9
stretch'd	3
stretched	2
stretches	1
stretcht	2
strew	6
strew'd	2
strew'st	1
strewments	1
stricken	1
strict	8
strictly	1
stride	1
striding	1
strife	14
strifes	1
strike	64
strikes	20
striking	3
string	2
strings	5
strip	5
stripes	1
stripling	2
stripp'd	2
stripping	1
striue	2
striues	1
strive	12
strives	1
striving	3
stroake	2
stroakes	2
stroke	16
strokedst	1
stroken	1
strokes	6
strond	1
strong	68
strong-based	2
strong-bass’d	1
strong-fram'd	1
stronger	13
strongest	3
strongly	10
strong’st	1
strooke	4
strossers	1
strove	1
strown	1
struck	19
strucke	3
strucken	4
struggling	1
strumpet	14
strumpeted	1
strumpets	1
strut	1
struts	1
strutted	1
strutting	1
stubborn	5
stubborne	5
stubbornesse	1
stubbornest	1
stubbornness	2
stuck	4
stuck-in	1
stucke	2
studded	1
student	1
studie	2
studied	6
studies	4
studs	1
study	20
studying	1
stuff	14
stuff'd	3
stuffe	7
stuffing	1
stuffs	1
stufft	2
stuft	5
stumble	2
stumbled	4
stumblest	1
stumbling	2
stung	3
sty	3
style	7
su'd	1
subborned	1
subcontracted	1
subdivided	1
subdu'd	6
subdue	4
subdued	2
subiect	11
subiection	1
subiects	11
subject	31
subject:--and	1
subjects	10
submission	2
submissive	1
submit	1
submitting	1
suborn	1
suborn'd	1
suborned	1
subscrib'd	4
subscribe	7
subscribed	1
subscribes	1
subscription	1
subsequent	1
subsist	1
substance	15
substances	1
substantial	1
substantives	1
substitute	4
substitution	1
subtile	1
subtilly	2
subtilties	1
subtle	11
subtleties	1
subtractors	1
suburbs	2
succedant	1
succeed	3
succeede	2
succeeders	2
succeedes	1
succeeding	4
success	4
successe	11
successful	1
successfully	2
succession	7
successive	2
successively	2
succour	1
succours	1
such	667
such-a-one	1
such-a-one's	1
such-like	2
suck	6
suck'd	6
sucke	7
sucking	4
suckle	1
sucks	4
suck’d	1
suddainely	1
sudden	25
suddenly	15
sue	5
sued	2
suerly	1
sues	3
suffer	29
suffer'd	6
suffer'st	1
sufferance	12
suffered	3
suffering	6
suffers	9
suffer’d	2
suffic'd	2
suffice	5
sufficeth	4
sufficiencie	2
sufficient	8
suffigance	1
suffocate	1
suffocating	1
suffolke	4
suffolkes	1
suffrance	1
suffred	1
sug'red	1
sugar	5
sugarsop	1
suger	1
suggest	3
suggested	1
suggestion	5
suggests	1
suis	3
suit	35
suite	25
suited	4
suiting	1
suitor	10
suitors	8
suits	13
sullen	8
sullied	1
sullies	1
sulph'rous	1
sulph'uous	1
sulphure	2
sulphurous	2
sultan	1
sultry	1
sultry,--as	1
sum	14
sum-lesse	1
sum.--what	1
summarie	1
summe	11
summer	21
summer'd	1
summer's	12
summer-seeming	1
summers	11
summes	1
summit	3
summon	4
summon'd	1
summoners	1
summons	7
summon’d	1
sumpter	1
sums	3
sun	77
sun's	2
sun-burn'd	1
sun-set	1
sunburnt	1
sund'red	1
sundaies	1
sunday	7
sundays:--o	1
sunder	3
sundry	4
sung	4
sunk	2
sunken	3
sunne	23
sunne-burning	1
sunnes	1
sunny	2
sunrising	1
suns	2
sunset	2
sunshine	1
sup	6
super-dainty	1
super-subtle	1
super-vision	1
superfluitie	1
superfluous	5
superfluously	1
superflux	1
supernaturall	1
superpraise	1
superserviceable	1
superstitious	1
supervise	1
suppe	1
supper	34
supper-time	4
suppers	1
supplant	3
supple	1
suppler	1
suppliance	1
suppliant	1
supplie	5
supplied	2
suppliest	1
supply	5
supply'd	5
supplyes	1
support	25
supportable	2
supportance	1
supported	2
supporter	1
supporting	1
suppos'd	7
supposal	1
suppose	9
supposed	6
supposes	1
supposest	1
supposing	3
supposition	2
suppress	2
suppressed	1
supprest	1
supremacy	2
supreme	2
sups	2
supt	4
sur	2
sur-reyn'd	1
surcease	2
sure	119
surelie	3
surely	12
surest	1
suretie	3
surety	2
surety-like	1
surfeit	7
surfeiting	1
surfet	1
surfeted	1
surfetted	1
surge	3
surgean	1
surgeon	10
surgeons	1
surgere	1
surgery	3
surges	2
surly	6
surmise	4
surmises	1
surmount	1
surpasseth	1
surpris'd	1
surprise	1
surprised	1
surpriz'd	1
surprize	1
surrender	2
surrey	7
surreys	1
suruay	1
surueyes	1
surueying	1
survey	4
survive	8
survivor	1
survivors	1
susan	3
suspect	16
suspected	2
suspecting	1
suspects	4
suspend	2
suspicion	5
suspiration	1
suspition	7
suspitions	1
sustain	6
sustain'd	1
sustaine	2
sustaining	3
sute	6
suted	2
suter	1
suters	1
sutes	3
sutler	1
sutor	2
sutors	3
suum	1
swabber	2
swaddling	1
swag-belly'd	1
swagger	1
swagger'd	1
swaggerer	1
swaggering	4
swain	3
swaine	1
swallow	3
swallow'd	3
swallow's	1
swallowed	3
swallowes	1
swallowing	1
swallows	1
swallow’d	1
swam	2
swamp	5
swan	2
swan-like	1
swans	1
swarme	2
swarming	1
swart-complexion'd	1
swarths	1
swashers	1
swashing	2
sway	19
sway'd	5
sway'st	1
swayes	1
swaying	1
sways	2
sway’d	1
swear	75
swear'st	3
swear't	2
sweare	58
swearers	2
sweares	3
swearing	12
swearings	1
swears	8
swear’st	1
sweat	13
sweate	1
sweaten	1
sweates	2
sweatie	1
sweating	2
sweaty	1
sweep	4
sweepe	3
sweepes	1
sweepstake	1
sweet	326
sweet'st	1
sweet-fac'd	1
sweet-season'd	1
sweete	31
sweeten	4
sweeter	9
sweetest	15
sweetheart	4
sweeting	4
sweetly	14
sweetmeats	1
sweetness	3
sweetnesse	1
sweets	9
sweld	1
swell	8
swelling	7
swellings	1
swells	2
sweltred	1
sweno	1
swept	1
sweruing	1
swerving	1
swet	3
swift	33
swift-footed	1
swift-winged	1
swifter	5
swiftest	1
swiftly	3
swiftness	1
swiftnesse	1
swill'd	1
swills	1
swim	6
swimme	1
swimmer	1
swimmers	1
swimming	2
swims	1
swine	4
swinge	1
swinish	2
swits	2
switzers	1
swoln	1
swolne	1
swom	1
swoon	4
swoonded	1
swoons	3
swoope	1
sword	131
sword:--if	1
swords	29
swore	26
sworn	20
sworn't	1
sworne	19
swound	1
swounded	1
swounds	2
swum	2
swung	1
sybill	1
sycamore	1
sycorax	7
syens	1
syllable	5
syllables	2
syllogism	1
symitare	1
sympathiz'd	1
sympathize	1
sympathy	1
synod	2
synonymous	5
syrrups	1
sythe	1
syue	1
syw	1
sólemnized	1
t	38
t'haue	2
t'is	1
t'other	1
t's	2
ta'en	24
taber	1
table	21
table's	1
table-book	1
tables	6
tables,--meet	1
tabor	6
taborer	1
tackle	2
tackled	1
tackling	1
tadle	1
taffeta	1
tag-ragge	1
tail	5
taile	4
tailor	30
tailors	3
tailour	1
taint	8
tainted	5
tainting	2
taints	2
tak'st	3
tak't	1
take	531
take't	3
taken	35
taker	3
takes	41
takest	1
taketh	2
take’t	1
taking	15
talbot	2
tale	52
talents	1
tales	9
talk	48
talk'd	13
talk'st	3
talke	44
talker	1
talkers	1
talkes	1
talkest	1
talking	14
talks	1
talkt	2
tall	17
taller	1
tallies	1
tallow-face	1
tam'd	3
tame	19
tamely	1
tameness	1
tames	1
taming	3
taming-school	2
tamworth	2
tan	1
tane	17
tang	3
tangle	1
tangled	1
tann'd	1
tanned	1
tanner	1
taper	5
tapers	3
tapestrie	1
tapestry	1
tapor	1
tapster	1
tar	3
tardie	1
tardiness	1
tardy	7
target	1
tarquin	1
tarquins	1
tarr'd	1
tarre	1
tarrie	3
tarry	19
tarrying	3
tart	1
tartar	3
tartar's	1
tartars	2
tarters	1
tartly	1
task	6
taske	5
taskes	2
tassel-gentle	1
taste	39
tasted	2
tastes	1
tasting	1
tatling	1
tatt'red	1
tatter'd	3
tatters	1
taught	22
tauies	1
taunt	2
taunted	1
taunting	1
taunts	2
taurus	3
tavern	2
tawnie	3
tawny	2
tawyer	1
tax	33
tax'd	2
taxation	2
taxe	2
taxes	5
taxing	1
tayle	1
taylor	4
taynt	1
te	3
teach	63
teacher	1
teaches	2
teachest	2
teacheth	2
teaching	6
team	2
teame	1
tear	17
tear-falling	1
teare	11
teare-sheete	1
teares	32
tearing	2
tearmes	10
tears	69
tears;--why	1
teat	1
tedious	24
tediously	1
tediousness	1
tediousnesse	2
teem	1
teeme	1
teemes	2
teeming	1
teen	3
teeth	19
teethes	1
tel	5
tel's	1
tell	492
tell'st	2
tell-tale	2
tell-tales	1
telling	12
tells	13
tellus	4
tels	4
temp'rance	1
temp'rate	1
temp'ring	1
temper	11
temper'd	6
temperance	4
temperate	4
temperately	1
tempers	1
temper’d	1
tempest	23
tempest-dropping-fire	1
tempest-tossed	1
tempest-tost	1
tempests	4
tempestuous	1
temple	10
temple-haunting	1
temples	6
temporal	1
temporall	2
temporize	1
temps	1
tempt	16
temptation	3
tempted	4
tempteth	1
tempting	3
tempts	2
ten	54
tenable	1
tenant	3
tenantless	1
tenants	3
tend	15
tend'ring	1
tended	2
tender	57
tender'd	2
tender-hefted	1
tender-minded	1
tenderly	2
tenderness	2
tendernesse	1
tenders	3
tending	3
tends	2
tenne	1
tennis	3
tenour	1
tens	1
tent	34
tent-royal	1
tented	1
tenth	3
tents	7
tenure	4
tenures	2
term	7
term'd	1
termagant	1
terme	4
termed	1
termes	9
terminates	1
terminations	1
terms	117
term’d	1
terram	1
terre	1
terrible	16
terribly	2
territory	2
terror	10
terrors	1
tertia	8
tertian	1
tertio	1
tertius	7
test	4
testament	6
testie	2
testify	2
testimonie	2
testimony	3
testril	1
testy	2
tetchy	2
tether	1
tetter	1
tewksbury	5
text	17
text-critical	1
th	231
th'antipodes	1
th'art	3
th'hadst	1
th-century	2
thames	1
than	502
thane	25
thanes	6
thank	82
thank'd	2
thanke	44
thanked	5
thankefull	1
thankes	16
thankful	6
thankfully	3
thankfulnes	2
thankings	1
thankless	1
thanks	42
tharsus	1
that	4898
that's	143
that--from	2
that-by	1
that.--pr'ythee	1
that:--he	1
that:--you	1
that?--[aside	1
thatch	1
thatch'd	1
thatcht	1
thatch’d	1
that’s	18
thaw	3
thaw'd	1
thawes	1
thawing	1
the	12356
the[m	2
the[m]selues	1
the[n	2
theame	3
theater	1
theatre	3
theban	1
thebes	1
thee	1448
thee,--myself,--that	1
thee-keep	1
thee.--something	1
theefe	10
theeues	9
theft	4
their	828
theirs	8
theirs,--to	1
theise	1
them	763
them,--ding-dong	1
them,--that	1
them.--but	1
them.--stand	1
them?--to	1
theme	6
themes	1
themselues	31
themselves	35
themselves-brother	1
then	1241
then--churls--their	1
thence	40
theobald	42
theoricke	1
theorique	1
ther's	3
there	816
there's	140
there,--my	1
there.--be	1
thereabout	1
thereat	1
thereby	9
therefore	293
therefore-to	1
therein	22
thereof	17
thereon	2
theres	1
thereto	6
thereunto	2
thereupon	3
therewith	1
therewithal	2
therewithall	1
there’s	10
therfore	5
thes	16
these	541
theseus	13
thessalian	1
thessaly	1
thewes	1
thews	1
they	1049
they'l	1
they'le	1
they'll	7
they're	3
they--hast	1
they’ll	3
thick	10
thick-skin	1
thicke	4
thicke-comming	1
thicken	1
thickens	1
thicker	1
thicks-lips	1
thief	12
thiefe	3
thieves	5
thievish	4
thigh	5
thighes	1
thighs	1
thimble	2
thin	8
thin-faced	1
thine	198
thing	204
thing's	1
things	184
think	237
think'st	18
think't	2
think,--or	1
thinke	207
thinkes	26
thinkest	2
thinking	23
thinkings	1
thinks	15
thinks't	1
think’st	2
thinly	3
third	58
third-borough	1
thirdlie	1
thirdly	1
thirlby	2
thirst	3
thirsty	2
thirteen	2
thirtie	3
thirties	1
thirty	13
this	3096
this's	1
this,--he	1
this,--my	1
this.--the	1
this;--and	1
this?--my	1
thisbie	14
thisbies	8
thisby	22
thisne	2
thissell	2
thistle	1
thistles	1
thither	34
tho	1
thoght	1
thomas	12
thorn	1
thorne	4
thornes	1
thorns	6
thorny	4
thorough	1
thoroughly	1
thorow	1
those	222
thou	2385
thou'art	1
thou'd'st	1
thou'dst	7
thou'lt	9
thou'rt	5
thou's	1
thou'st	1
thou--all	1
thou-will	1
though	285
thought	176
thought-executing	1
thought-sick	1
thoughts	112
thoughts--from	1
thould'st	1
thousand	112
thousands	5
thou’rt	2
thracian	1
thraldom	1
thrall	2
thrall'd	2
thralled	1
thralles	1
thrasonical	1
thread	7
threaden	1
threading	1
threat	5
threat'ned	3
threaten	4
threaten'd	2
threatening	2
threatens	3
threatned	1
threatnest	1
threatning	2
threats	5
thred	5
three	156
three-and-twenty	1
three-fold	2
three-foot	1
three-hours	1
three-inch	1
three-legg'd	1
three-quarters	1
three-suited	1
threefold	1
threescore	3
threshold	1
threw	9
thrice	37
thrice-crowned	1
thrice-double	1
thrice-driuen	1
thrice-gentle	1
thrice-gorgeous	1
thrice-puissant	1
thrice-renowned	1
thrice-valiant	1
thrice-worthy	1
thrift	7
thriftie	1
thriftless	2
thriftlesse	1
thrifty	1
thrill'd	1
thrills	1
thriue	8
thrive	16
thrivers	1
thriving	1
throat	24
throate	2
throates	1
throats	7
throbs	1
throes	2
thron'd	1
throne	23
throned	4
thrones	1
throng	5
thronging	2
throngs	2
throstle	1
throttle	1
through	130
throughfares	1
throughly	6
throughout	7
throw	35
throw-out	1
throwes	5
throwest	1
throwing	5
thrown	12
throwne	1
throws	10
thrum	1
thrust	16
thrusting	3
thrusts	4
thumb	7
thumbe	1
thumbes	1
thump'd	1
thunder	38
thunder-bearer	1
thunder-bolts	1
thunder-clap	1
thunder-claps	2
thunder-stone	1
thunder-stroke	2
thunderbolt	2
thunderbolts	1
thunders	4
thursday	14
thus	335
thus,--you'll	1
thus:--'i	1
thwart	1
thwarted	2
thwarting	1
thy	1722
thys	2
thyself	53
thyself-or	1
thát	1
tiberio	1
tickle	4
tickled	2
tickling	3
tiddle	1
tide	5
tides	2
tidings	10
tie	3
tied	7
ties	1
tiger	4
tiger's	1
tigers	3
tight	2
til	2
till	263
tillage	1
tilled	1
tilly-valley	1
tilter	1
tilth	1
tilting	1
tilts	1
timber	2
timber'd	2
time	513
time's	18
time,--as	1
time,--i'd	1
time-bettering	1
time-pleaser	1
timeless	2
timely	2
timerous	1
times	87
timorous	1
timorously	1
tinct	1
tincture	1
tinctures	1
tinder	1
tinker	6
tinkers	1
tinsel	1
tiny	2
tip	1
tip-toe	1
tips	1
tipsie	1
tipt	1
tiptoe	1
tir'd	2
tiranny	1
tirant	1
tire	3
tired	6
tires	1
tirranie	1
tis	581
tish	4
tit	5
tita	11
titan's	1
titania	5
tithe	1
tithe-pig's	1
tithing	2
titin	5
titinius	23
title	31
titles	9
titus	1
to	8397
to't	26
to'th	4
to,--'tis	1
to-and-fro-conflicting	1
to-day	35
to-morrow	73
to-morrow's	2
to-night	45
toad	12
toad-spotted	1
toades	1
toads	2
toasted	1
toby	206
toby's	1
todpole	1
toe	9
toes	2
together	92
toil	10
toil'd	1
toile	2
toils	1
token	9
tokens	3
told	116
told'st	2
toldst	1
toll	1
tollerable	1
tom	20
tom's	4
tomb	18
tombe	8
tombed	1
tomblesse	1
tombs	2
ton	1
tongs	2
tongue	146
tongue's	2
tongue--a	1
tongue-tide	1
tongue-tied	6
tongue-tyed	1
tongued	1
tongueless	1
tonguelesse	1
tongues	33
tongues--the	1
tonne	1
too	513
too't	8
too-much-changed	1
too;--and	1
too;--at	1
took	40
took't	1
tooke	20
tool	1
toomb	1
toombe	3
tooth	10
tooth-ach	2
tooth-ake	2
tooth-picker	1
tooth’d	1
top	25
top'd	1
top-full	1
topas	15
topas.--marry	1
topgallant	1
topmast	2
topp'd	1
topple	2
topples	1
tops	5
topsail	1
torch	13
torch-bearer	3
torch-bearers	1
torch-light	1
torch-staues	1
torchbearer	1
torchbearers	2
torches	13
tore	1
torment	21
tormented	1
tormenting	2
torments	3
torn	3
torne	1
torrent	2
tortoise	4
tortur'd	1
torture	12
torturer	1
torturest	1
torturing	1
toss	1
toss'd	1
toss-pots	1
tossing	1
toste	1
total	1
totally	1
toth	6
tott'ring	1
totters	1
touch	51
touch'd	10
touched	1
touches	15
toucheth	3
touching	13
touchstone	88
toucht	3
touch’d	2
tough	2
toughnesse	1
tout	1
toute	2
touts	1
tow'r	1
toward	56
towards	28
tower	33
tower-walls	1
towering	1
towers	2
towle	1
town	22
towne	20
townes	3
towns	2
towres	1
towring	1
toy	10
toyes	3
toyle	5
toyled	1
toyles	1
toys	2
to’t	3
trace	6
traces	1
track	1
tract	2
tractable	1
trade	18
trademark	50
trademark/copyright	5
traders	1
trades	1
tradesmans	1
tradition	2
traditional	1
traduc'd	2
traffic	4
traffic's	1
trafficke	1
traffiquers	1
tragedian	1
tragedians	1
tragedie	7
tragedy	7
tragic	1
tragical	1
tragical-comical-historical-pastoral	1
tragical-historical	1
tragicall	3
tragicke	1
trail	2
train	16
train'd	3
traind	1
traine	13
trained	1
traines	2
trains	2
traitor	35
traitorous	2
traitors	26
trammell	1
tranc'd	1
trance	1
tranect	1
tranio	139
tranquill	1
trans-shape	1
transcribe	5
transcription	5
transferr'd	1
transferred	1
transfigur'd	1
transfix	1
transform	2
transform'd	2
transformation	1
transforme	2
transformed	3
transgresses	1
transgression	5
transgrest	1
translate	5
translated	4
transmutation	1
transparent	3
transport	3
transported	5
transporting	1
transports	1
transpose	2
transposition	1
trapp'd	1
trappings	2
traps	2
trash	9
trassell	1
trauaile	1
trauailing	1
traueller	1
trauellours	1
trauerse	1
traunce	1
travail	1
travel	14
travel's	1
travell'd	3
travelled	1
traveller	3
travellers	3
travellest	1
travelling	1
travels	3
traverse	1
tray	1
tray-trip	1
trayl'st	1
trayne	1
traytor	4
treacherie	2
treacherous	14
treachers	1
treachery	6
tread	9
treade	1
treades	1
treads	4
treason	35
treason's	1
treasonous	1
treasons	8
treasure	24
treasures	1
treasuries	1
treasury	1
treatise	2
treatment	5
treats	2
treb	4
trebble	1
treble	5
trebled	1
trebles	3
trebonius	11
trecherie	1
tree	27
trees	15
tremble	17
trembled	3
trembles	2
trembling	5
trenched	1
trencher	4
trencher-man	1
trenchering	1
trenchers	1
trenches	1
tres	1
tres-puissant	1
trescher	2
trespas	1
trespass	6
trespasse	2
trespasses	1
tressel	3
tresses	1
trial	12
triall	4
trials	1
tribe	7
tribes	1
tributaries	1
tributary	2
tribute	8
trice	3
trick	10
trick'd	1
tricke	5
trickes	2
tricks	11
tricksie	1
tricksy	1
tride	2
trident	1
trie	3
tried	6
trifle	14
trifled	1
trifles	6
trifling	3
trill'd	1
trim	8
trimm'd	3
trin	45
trinculo	20
trinculo,--be	1
trinculos	1
trinculo’s	1
trip	7
tripe	1
triple	1
triplex	1
tripoli	1
tripolis	3
tripp'd	4
tripping	3
trippinglie	1
trippingly	1
trips	1
tristful	1
triumph	17
triumphant	6
triumphantly	1
triumphes	1
triumphing	1
trivial	2
trod	6
trodd	1
trodden	1
troian	3
troilous	1
troilus	3
troll	1
tromperies	1
trompet	1
troop	4
troope	2
troopes	4
trooping	1
troops	4
trop	1
trophee	2
trophees	1
trophies	2
trophy	1
tropically	1
trot	5
troth	43
troth's	2
troth-plight	1
trothed	1
troths	1
trots	3
trotting	1
trouble	37
troubled	15
troubler	1
troubles	8
troublest	1
troublous	1
trough	1
trout	1
trovato	1
trow	6
trowel	1
trowest	1
troy	2
troyan	1
troylus	1
truant	4
truce	1
truckle-bed	1
trudge	3
true	343
true-derived	1
true-disposing	1
true-hearted	1
true-love	2
true-telling	1
true-the	1
truely	18
truepenny	1
truer	4
truest	6
truly	74
trum	1
trumpe	1
trumpery	1
trumpet	33
trumpet's	1
trumpet-tongu'd	1
trumpets	16
truncheon's	1
trundle-tall	1
trunk	4
trunke	1
trunkes	1
trunks	1
trust	74
trusted	6
truster	1
trustie	1
trusting	1
trusts	1
trusty	8
truth	118
truth's	2
truths	4
try	31
trybe	1
trye	1
trym'd	1
tu	3
tub	9
tuball	10
tuck	1
tucket	6
tuesday	4
tuft	1
tugg'd	1
tuition	1
tulip’d	1
tumble	2
tumbled	1
tumbling	2
tumbling-trick	1
tun	1
tun'd	2
tune	30
tuneable	2
tuners	1
tunes	1
tunis	9
tupping	1
turbond-turke	1
turbulent	1
turf	2
turfe	2
turfy	1
turk	3
turke	9
turkes	4
turkey	1
turkey-cock	1
turkies	1
turkish	7
turks	1
turkycock	1
turkycocks	1
turlygod	1
turn	62
turn'd	36
turn'st	1
turnd	1
turne	51
turne-coate	1
turned	8
turnes	11
turneth	1
turning	16
turns	16
turn’d	2
turph	1
turtle	2
tush	11
tut	16
tutch	1
tutches	2
tutor	3
tutor'd	1
tutored	1
tutors	3
tutto	1
twain	13
twaine	4
twanged	1
twanging	1
twangling	3
twas	64
tway	1
tweaks	1
tween	5
tweene	5
twelfth	3
twelue	8
twelue-pence	1
tweluemonth	1
twelve	16
twelvemonth	3
twentie	14
twentieth	2
twenty	48
twenty-years-removed	1
twer	1
twere	49
twere--i	1
twice	25
twice,--in	1
twiggen-bottle	1
twigs	1
twilight	1
twill	25
twilled	2
twin	1
twin-borne	1
twine	1
twink	2
twinkle	1
twinkled	1
twinkling	1
twinn'd	1
twire	1
twist	1
twisted	1
twixt	29
two	287
two-and-forty	1
two-fold	1
two-headed	1
twofold	2
twopence	2
twould	7
txt	5
tyb	17
tybalt	55
tybalt's	10
tybalts	1
tyber	5
tyde	4
tydings	6
tye	2
tyes	1
tyger	2
tying	2
tyke	2
type	1
types	5
tyrannically	1
tyrannie	1
tyrannous	7
tyranny	10
tyrant	32
tyrant's	1
tyrants	14
tyre	4
tyred	2
tyrian	1
tyring	1
tyrrany	1
tyrrel	21
tyta	5
tytania	4
u's	2
u.s	15
ubique	1
udders	1
uglier	1
ugly	8
ulcer	1
ulcerous	1
umber	1
umbrage	1
unable	2
unaccommodated	1
unaccustom'd	3
unadvis'd	1
